data_extra;idacidente;longitude;latitude;log1;log2;predial1;tipo_acid;queda_arr;data;dia_sem;hora;feridos;feridos_gr;mortes;morte_post;fatais;auto;taxi;lotacao;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;noite_dia;regiao;cont_vit;ups;consorcio;ano;mes
01/08/2020;649032;-51.18638500000;-30.01872300000;;;0;COLIS├âO;0;03/01/2018;QUARTA-FEIRA;10:20;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649052;-51.15227200000;-29.99803000000;AV SERTORIO;;5290;COLIS├âO;0;10/01/2018;QUARTA-FEIRA;16:10:00;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;649078;-51.22579300000;-30.03694000000;;;1630;ABALROAMENTO;0;04/01/2018;QUINTA-FEIRA;12:10;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;CENTRO;0;1;;2018;1
01/08/2020;649090;-51.17804800000;-30.03424700000;AV CARLOS GOMES;;1501;ABALROAMENTO;0;09/01/2018;TER├çA-FEIRA;13:50:00;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;LESTE;1;5;;2018;1
01/08/2020;649104;-51.20397800000;-30.04309700000;;;0;ABALROAMENTO;0;05/01/2018;SEXTA-FEIRA;21:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;LESTE;0;1;;2018;1
01/08/2020;649114;-51.18936000000;-30.05507600000;;;0;COLIS├âO;0;05/01/2018;SEXTA-FEIRA;17:35;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649118;-51.21346800000;-30.11527400000;;;1350;ABALROAMENTO;0;05/01/2018;SEXTA-FEIRA;19:40;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;NOITE;SUL;0;1;VIVA SUL (LOTE 4);2018;1
01/08/2020;649011;-51.17831000000;-30.04728900000;;;0;COLIS├âO;0;02/01/2018;TER├çA-FEIRA;17:55;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649013;-51.18957700000;-30.01894100000;;;0;CAPOTAGEM;0;02/01/2018;TER├çA-FEIRA;15:24;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649019;-51.18924700000;-29.99932800000;;;0;ABALROAMENTO;0;03/01/2018;QUARTA-FEIRA;13:20;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649029;-51.19450300000;-30.03880800000;;;1841;ABALROAMENTO;0;03/01/2018;QUARTA-FEIRA;15:15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649033;-51.17921500000;-29.97606500000;;;2341;CHOQUE;0;03/01/2018;QUARTA-FEIRA;16:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649067;-51.11778000000;-29.98675500000;;;757;COLIS├âO;0;04/01/2018;QUINTA-FEIRA;11:00;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649077;-51.23345900000;-30.04211600000;;;0;COLIS├âO;0;04/01/2018;QUINTA-FEIRA;13:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO;0;1;;2018;1
01/08/2020;649083;-51.20574200000;-30.03349000000;;;0;COLIS├âO;0;04/01/2018;QUINTA-FEIRA;11:17;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
